i;j;demand
144;2;14.65602792
144;6;6.018372392
144;135;14.62319888
144;14;5.273217232
144;152;20.95121732
144;147;67.097919
144;149;28.27585813
144;22;2.858593302
144;151;88.89027038
144;24;0.906049901
144;25;1.182845755
144;47;30.16566328
144;28;1.192980828
144;158;15.40068671
144;31;1.261894449
144;167;21.25273814
144;42;14.78074621
144;44;32.46631055
144;175;28.18225172
144;178;31.61070622
144;180;44.49000811
144;57;32.03009361
144;63;8.890739938
144;193;5.745375056
144;194;14.77681231
144;69;2.747845785
144;198;7.719283381
144;72;2.176978817
144;74;3.532588162
144;206;3.124229686
144;80;12.54809936
144;211;6.552155576
144;213;1.970631188
144;214;0.954784086
144;87;16.45971978
144;217;11.84431745
144;219;2.654317424
144;93;8.850443439
144;98;12.42913848
144;103;45.69987847
144;105;6.1927301
144;106;17.27970242
144;39;32.82012632
144;113;7.090979922
144;83;4.389166913
144;118;4.865254785
144;121;17.57066239
144;170;16.48424514
152;129;2.494763247
152;2;8.700073773
152;6;3.827676806
152;135;8.400719127
152;14;3.240679437
152;144;16.25521536
152;147;35.67727361
152;149;52.81434197
152;22;1.696910838
152;151;44.27663952
152;24;0.537847023
152;25;0.702157869
152;47;20.8144035
152;28;0.708174225
152;158;11.32045175
152;31;0.749082553
152;167;13.6995513
152;42;8.774108726
152;44;24.06991766
152;175;16.72947612
152;178;15.71312414
152;180;18.03539373
152;57;20.85924774
152;63;7.610718744
152;193;2.182765016
152;194;7.828354364
152;69;1.9920661
152;198;4.58230124
152;72;1.395134319
152;74;2.240447564
152;206;1.854597228
152;80;9.927946793
152;211;3.603295482
152;213;1.124932174
152;214;0.548331319
152;87;8.902093879
152;217;6.807523369
152;219;1.575649114
152;93;4.176050748
152;98;5.414987718
152;103;21.83968552
152;105;2.36605794
152;106;8.831203641
152;39;23.21860252
152;113;4.251706089
152;83;2.563366727
152;118;2.985061363
152;121;10.43025163
152;170;14.64963937
147;129;9.081014204
147;2;31.66853352
147;6;13.06791932
147;135;30.57887349
147;14;11.79617185
147;144;59.16947899
147;152;63.36364077
147;149;116.6926116
147;22;6.176807136
147;151;107.829388
147;24;1.957779544
147;25;2.555876029
147;47;75.76506272
147;28;2.577775749
147;158;35.85714316
147;31;2.726683307
147;167;47.84236609
147;42;31.938023
147;44;87.61523342
147;175;60.89580262
147;178;57.19625046
147;180;79.70088158
147;57;70.85007361
147;63;21.1050807
147;193;10.12449113
147;194;28.96335776
147;69;6.571462031
147;198;16.67971608
147;72;5.078331415
147;74;8.155297373
147;206;6.750790398
147;80;36.13802871
147;211;13.4643715
147;213;4.094787378
147;214;1.995942703
147;87;35.56592486
147;217;25.59303015
147;219;5.735410767
147;93;16.87367659
147;98;24.38576992
147;103;92.69201456
147;105;12.1690266
147;106;35.60382067
147;39;70.91725509
147;113;15.47633966
147;83;9.484048495
147;118;10.5127723
147;121;37.96643361
147;170;38.99942937
149;129;4.292645501
149;2;14.96989046
149;6;6.586139842
149;135;14.45480216
149;14;5.576115497
149;144;16.76515454
149;152;60.85654139
149;147;82.7138719
149;22;2.933970405
149;151;50.97154646
149;24;0.925453189
149;25;1.208176696
149;47;40.55723965
149;28;1.218528814
149;158;19.47867652
149;31;1.288918238
149;167;23.57230384
149;42;17.87690552
149;44;46.35008658
149;175;23.20669989
149;178;23.03314004
149;180;28.67658164
149;57;38.15827486
149;63;14.94232994
149;193;3.613534278
149;194;12.90815271
149;69;3.427673384
149;198;7.884593788
149;72;2.614280274
149;74;4.141010308
149;206;3.191135855
149;80;19.67101981
149;211;6.200055319
149;213;1.935628578
149;214;0.929032213
149;87;15.1319079
149;217;11.71345
149;219;2.711160303
149;93;7.3224454
149;98;9.317366164
149;103;37.57872732
149;105;4.071187109
149;106;12.15271939
149;39;43.52022525
149;113;7.315751119
149;83;4.744639573
149;118;5.136283069
149;121;17.94694257
149;170;25.20708473
22;129;25.81239132
22;2;180.1877788
22;6;64.02939219
22;135;36.15289148
22;14;20.42643722
22;144;1.720812569
22;152;1.087636634
22;147;3.530021359
22;149;1.811277695
22;151;2.800127127
22;24;87.64539754
22;25;14.02596767
22;47;8.387435559
22;28;11.56376498
22;158;19.98336311
22;31;15.4209444
22;167;22.72888021
22;42;2.152057837
22;44;3.602153398
22;175;5.194398475
22;178;7.060534251
22;180;4.09851096
22;57;31.81579176
22;63;4.579719013
22;193;3.811302712
22;194;22.7868055
22;69;6.181236355
22;198;19.59594897
22;72;3.921908773
22;74;9.935352517
22;206;12.55190761
22;80;5.671936709
22;211;17.89122056
22;213;6.298952394
22;214;4.3086109
22;87;25.123135
22;217;56.48139564
22;219;25.52435181
22;93;9.762111709
22;98;8.155624087
22;103;19.45434546
22;105;3.862462373
22;106;8.004052306
22;39;4.547986613
22;113;181.2562973
22;83;11.43166754
22;118;37.32707701
22;121;76.76658865
22;170;9.530035975
151;129;7.075403148
151;2;24.67429703
151;6;10.18176995
151;135;23.8252967
151;14;9.19089758
151;144;83.71827821
151;152;76.77548827
151;147;101.7477239
151;149;47.60409342
151;22;4.8126123
151;24;1.525389041
151;25;1.991391369
151;47;59.03177236
151;28;2.008454369
151;158;30.35506143
151;31;2.12447456
151;167;38.06879253
151;42;24.88426771
151;44;68.26474273
151;175;47.44650145
151;178;44.56402352
151;180;51.15021706
151;57;56.47272476
151;63;21.584775
151;193;6.909201013
151;194;22.56657991
151;69;5.241239053
151;198;12.99587392
151;72;3.956743297
151;74;6.35413792
151;206;5.259826993
151;80;28.15667021
151;211;10.49066265
151;213;3.190422441
151;214;1.555123576
151;87;25.24724666
151;217;19.94061478
151;219;4.468701676
151;93;13.14699677
151;98;18.99998716
151;103;68.77808744
151;105;7.686433074
151;106;25.04619471
151;39;65.85032611
151;113;12.05827234
151;83;7.269969619
151;118;8.190946576
151;121;29.58125798
151;170;32.98003577
24;129;9.5257659
24;2;100.4993805
24;6;32.52328237
24;135;16.14160987
24;14;9.016963149
24;144;0.785183002
24;152;0.49627357
24;147;1.610699977
24;149;0.826460989
24;22;94.21467003
24;151;1.277659323
24;25;10.33768972
24;47;3.827070969
24;28;6.261221957
24;158;9.118132507
24;31;10.29518004
24;167;10.37087403
24;42;0.981954259
24;44;1.64361283
24;175;2.370132261
24;178;3.221624234
24;180;1.870093928
24;57;14.21657549
24;63;2.089662514
24;193;1.739044772
24;194;10.39730454
24;69;2.820412752
24;198;10.18067705
24;72;1.78951279
24;74;3.811649961
24;206;6.04293131
24;80;2.58802636
24;211;8.163516763
24;213;3.546937552
24;214;1.965959628
24;87;11.46333941
24;217;32.87784501
24;219;12.4134382
24;93;4.454316705
24;98;4.063133043
24;103;8.693456945
24;105;1.762388219
24;106;3.846867774
24;39;2.075183459
24;113;28.71032048
24;83;4.368298014
24;118;15.44075269
24;121;29.91448938
24;170;4.348423753
25;129;10.55018215
25;2;103.1568027
25;6;36.604414
25;135;18.92942305
25;14;10.45739407
25;144;0.92079175
25;152;0.581984847
25;147;1.888883545
25;149;0.969198848
25;22;62.42269064
25;151;1.498323527
25;24;49.04420323
25;47;4.488043386
25;28;82.24341285
25;158;10.69292277
25;31;49.69350156
25;167;12.04205849
25;42;1.15154732
25;44;1.9067843
25;175;2.779477178
25;178;3.778030105
25;180;2.213715192
25;57;16.67191649
25;63;2.274297075
25;193;2.039394736
25;194;12.30868637
25;69;3.307525494
25;198;11.93897909
25;72;1.970157991
25;74;4.257799433
25;206;8.96298958
25;80;2.966956322
25;211;10.01023387
25;213;4.159528201
25;214;3.268591274
25;87;13.44316973
25;217;41.30146281
25;219;17.21689535
25;93;5.223620567
25;98;4.764875679
25;103;10.30736093
25;105;2.199625699
25;106;4.631461312
25;39;2.433587846
25;113;30.31052477
25;83;4.874752794
25;118;14.46942742
25;121;33.57295483
25;170;5.099438872
47;129;13.15300467
47;2;44.75125678
47;6;19.6042015
47;135;46.87162654
47;14;15.79182787
47;144;4.50929945
47;152;3.393142588
47;147;11.98487785
47;149;6.918673204
47;22;9.306954753
47;151;7.442446287
47;24;2.754689578
47;25;3.596239977
47;28;3.627053931
47;158;53.40869797
47;31;3.836573996
47;167;85.39179423
47;42;75.92148237
47;44;61.41088585
47;175;92.84893432
47;178;33.1869447
47;180;25.47959328
47;57;197.4294557
47;63;106.3931532
47;193;9.803932639
47;194;36.23873994
47;69;10.03483837
47;198;23.46915933
47;72;8.985713315
47;74;12.93405484
47;206;9.131708341
47;80;178.183627
47;211;18.4549883
47;213;5.761561944
47;214;2.540878443
47;87;57.019035
47;217;34.34398081
47;219;8.069997623
47;93;23.32532306
47;98;40.94154961
47;103;123.4291872
47;105;13.99219661
47;106;31.96610566
47;39;101.5576926
47;113;22.12645754
47;83;15.09303226
47;118;15.72440953
47;121;53.42059034
47;170;55.43842921
28;129;11.61177303
28;2;119.786199
28;6;35.65334247
28;135;19.09359472
28;14;12.95539767
28;144;0.97559952
28;152;0.616626004
28;147;2.001314499
28;149;1.026887926
28;22;23.9602101
28;151;1.587507397
28;24;38.87175076
28;25;86.1018781
28;47;4.874275403
28;158;11.21872189
28;31;63.68309763
28;167;12.62763701
28;42;1.220090224
28;44;2.020280751
28;175;2.890341421
28;178;4.056915521
28;180;2.345480917
28;57;17.29173781
28;63;2.409668781
28;193;2.645269938
28;194;14.10937674
28;69;3.06639092
28;198;11.96932948
28;72;2.033640401
28;74;4.511234036
28;206;10.183455
28;80;2.982044331
28;211;12.33715003
28;213;6.336736186
28;214;3.730357066
28;87;13.57386968
28;217;43.75982657
28;219;22.02711439
28;93;5.586580542
28;98;5.048492696
28;103;11.07051322
28;105;2.543343737
28;106;4.907137181
28;39;2.578440928
28;113;32.1146811
28;83;5.164909965
28;118;13.34840195
28;121;33.20690022
28;170;5.284475144
158;129;33.4399868
158;2;99.5866697
158;6;42.5176664
158;135;109.5711303
158;14;32.84350454
158;144;5.8783515
158;152;4.580338171
158;147;14.86401772
158;149;8.968134778
158;22;21.51094548
158;151;11.5907031
158;24;6.260812797
158;25;7.464405546
158;47;93.67025791
158;28;7.528363416
158;31;7.963246168
158;167;485.8446462
158;42;19.95495377
158;44;20.47418132
158;175;31.32007614
158;178;33.6277404
158;180;19.82321271
158;57;336.1847389
158;63;58.79788667
158;193;12.863895
158;194;63.61334974
158;69;81.75534933
158;198;48.8232126
158;72;37.0191003
158;74;60.94869247
158;206;18.08601835
158;80;64.27300982
158;211;35.11309299
158;213;9.736238207
158;214;5.173719927
158;87;147.1190034
158;217;65.83523576
158;219;16.74248325
158;93;44.22807607
158;98;55.05497412
158;103;97.67217235
158;105;16.46740672
158;106;37.78399606
158;39;45.24406341
158;113;50.87324611
158;83;61.16160576
158;118;66.73193226
158;121;177.5647744
158;170;221.8493811
31;129;13.41937161
31;2;150.1489217
31;6;44.72544798
31;135;22.06588453
31;14;15.8922083
31;144;1.127470583
31;152;0.712615849
31;147;2.312858071
31;149;1.186743028
31;22;20.59169355
31;151;1.834633835
31;24;11.35272334
31;25;15.62183459
31;47;5.633051283
31;28;98.35252674
31;158;12.02648895
31;167;14.25060672
31;42;1.410021025
31;44;2.334776789
31;175;3.42154697
31;178;4.80379213
31;180;2.742921823
31;57;19.98353351
31;63;2.784780649
31;193;3.057057713
31;194;16.30577598
31;69;3.45175794
31;198;13.83258868
31;72;2.350216129
31;74;5.213495457
31;206;11.76870806
31;80;3.446257599
31;211;14.25766766
31;213;7.323172564
31;214;4.311059782
31;87;15.68690681
31;217;56.92630524
