x;y;gid;Name;description;new
6.03861;51.04465;187;Selsten, Waldfeucht, Selsten Abzw. Pütt;Bushalte;Bushaltestelle
6.0738;51.07384;188;Kirchhoven, Heinsberg, Kirchhoven Kirche;Bushalte;Bushaltestelle
6.0615;51.08023;189;Kirchhoven, Heinsberg, Kirchhoven Lümbach;Bushalte;Bushaltestelle
6.0526;51.08391;190;Kirchhoven, Heinsberg, Kirchhoven Abzw. Vinn;Bushalte;Bushaltestelle
6.05498;51.08634;191;Kirchhoven, Heinsberg, Kirchhoven Vinn;Bushalte;Bushaltestelle
6.09191;51.0625;192;Heinsberg, Heinsberg, Westpromenade;Bushalte;Bushaltestelle
6.0988201;51.0698395;193;Bushalte;Bushalte;Bushaltestelle
6.09964;51.07593;194;Heinsberg, Heinsberg, Schwarzmanns;Bushalte;Bushaltestelle
6.10107;51.07966;195;Kempen, Heinsberg, Kempen Flutgraf;Bushalte;Bushaltestelle
6.10192;51.08625;196;Heinsberg, Eickenerweg;Bushalte;Bushaltestelle
6.11743;51.09078;197;Kempen, Heinsberg, Kempen Hochbrück;Bushalte;Bushaltestelle
6.10256;51.09181;198;Kempen, Heinsberg, Kempen Hochfeld;Bushalte;Bushaltestelle
6.1031868;51.0913248;199;Bushalte;Bushalte;Bushaltestelle
6.1037233;51.0910216;200;Bushalte;Bushalte;Bushaltestelle
6.10164;51.09321;201;Kempen, Heinsberg, Kempen Kämpchenstraße;Bushalte;Bushaltestelle
6.10167;51.09364;202;Kempen, Heinsberg, Kempen Kirche;Bushalte;Bushaltestelle
6.1013885;51.0930942;203;Bushalte;Bushalte;Bushaltestelle
6.0974;51.09505;204;Kempen, Heinsberg, Kempen Friedhof;Bushalte;Bushaltestelle
6.10494;51.09676;205;Kempen, Heinsberg, Kempen Rurbrücke;Bushalte;Bushaltestelle
6.0963536;51.0949308;206;Bushalte;Bushalte;Bushaltestelle
6.0975927;51.0951565;207;Bushalte;Bushalte;Bushaltestelle
6.084363;51.09365;208;Karken, Scherrers;Bushalte;Bushaltestelle
6.076874;51.098719;209;Karken, Post 403;Bushalte;Bushaltestelle
6.08294;51.10047;210;Karken, Heinsberg, Karken Mühlenstraße;Bushalte;Bushaltestelle
6.084333;51.093533;211;Karken, Scherrers;Bushalte;Bushaltestelle
6.0786446;51.0969484;212;Bushalte;Bushalte;Bushaltestelle
6.073856;51.101218;213;Karken, Schmiede;Bushalte;Bushaltestelle
6.07635;51.10192;214;Karken, Heinsberg, Karken Schule;Bushalte;Bushaltestelle
6.072709;51.101881;215;Karken, Schmiede;Bushalte;Bushaltestelle
6.07972;51.10425;216;Karken, Heinsberg, Karken Kirche;Bushalte;Bushaltestelle
6.068174;51.10509;217;Karken, Sonnenschein;Bushalte;Bushaltestelle
6.0684772;51.1048455;218;Bushalte;Bushalte;Bushaltestelle
6.0726476;51.1067338;219;Bushalte;Bushalte;Bushaltestelle
6.0733435;51.1015327;220;Bushalte;Bushalte;Bushaltestelle
6.04372;51.08764;221;Haaren, Waldfeucht, Haaren Driesch;Bushalte;Bushaltestelle
6.03716;51.09067;222;Haaren, Waldfeucht, Haaren Neuhaaren;Bushalte;Bushaltestelle
6.03231;51.09041;223;Haaren, Waldfeucht, Haaren Soperich;Bushalte;Bushaltestelle
6.02664;51.08822;224;Haaren, Waldfeucht, Haaren Pölert;Bushalte;Bushaltestelle
6.01953;51.08921;225;Haaren, Waldfeucht, Haaren Alte Schule;Bushalte;Bushaltestelle
6.01349;51.08728;226;Haaren, Waldfeucht, Haaren Abzw. Obspringen;Bushalte;Bushaltestelle
6.00763;51.08535;227;Haaren, Waldfeucht, Haaren Abzw. Schabroich;Bushalte;Bushaltestelle
5.9964977;51.0745926;228;Birgit Höninger Busreisen;Bushalte;Bushaltestelle
6.04665;51.08281;229;Von den Driesch;Bushalte;Bushaltestelle
6.1084;51.02969;230;Schafhausen, Heinsberg, Schafhausen Schleiden Jansen;Bushalte;Bushaltestelle
6.09393;51.02958;231;Heinsberg, Heinsberg, Erpen;Bushalte;Bushaltestelle
6.09929;51.02765;232;Heinsberg, Heinsberg, Abzw. Dorath;Bushalte;Bushaltestelle
6.09253;51.02584;233;Heinsberg, Heinsberg, Abzw. Erpen;Bushalte;Bushaltestelle
6.08509;51.02238;234;Straeten, Heinsberg, Straeten Hamacher;Bushalte;Bushaltestelle
6.1488986;51.0340085;235;Bushalte;Bushalte;Bushaltestelle
6.17378;51.05448;236;Oberbruch, Heinsberg, Oberbruch Schanz;Bushalte;Bushaltestelle
6.16978;51.05039;237;Oberbruch, Heinsberg, Bleckden;Bushalte;Bushaltestelle
6.17522;51.04268;238;Porselen, Heinsberg, Porselen Bendengasse;Bushalte;Bushaltestelle
6.201;51.04467;239;Hilfarth, Hückelhoven, Hilfarth Kaphof;Bushalte;Bushaltestelle
6.17357;51.03647;240;Porselen, Heinsberg, Porselen Ort;Bushalte;Bushaltestelle
6.17554;51.02905;241;Horst, Heinsberg, Horst Ort;Bushalte;Bushaltestelle
6.1734438;51.0410108;242;Bahnhof;Bahnhof;Bahnhof
