x;y;gid;Name;description;new
5.9374291;50.9977345;40;Kindergarten St. Hubertus;Kindergarten;Kindergarten
5.8999519;51.0118526;41;Katholischer Kindergarten St. Gertrud, Rappelkiste;Kindergarten;Kindergarten
5.993857;51.0229405;45;Kindergarten;Kindergarten;Kindergarten
6.049093;51.0068341;48;Kindergarten;Kindergarten;Kindergarten
6.1795342;50.9942459;52;Kindergarten;Kindergarten;Kindergarten
6.2395827;51.0061089;54;Kindervilla Brachelen e.V.;Kindergarten;Kindergarten
6.0368067;51.091255;58;Katholischer Kindergarten St.Johannes d.Täufer;Kindergarten;Kindergarten
6.0765401;51.07724;60;Katholischer Kindergarten St.Hubertus;Kindergarten;Kindergarten
6.07762;51.10461;62;Städtischer Kindergarten Karken;Kindergarten;Kindergarten
6.0974192;51.1153215;64;Kindertagesstätte Steinkirchen;Kindergarten;Kindergarten
6.15298;51.09596;65;Kindergarten der AWO;Kindergarten;Kindergarten
6.157866;51.099399;66;Kath. Kindergarten;Kindergarten;Kindergarten
6.1515493;51.1136937;68;Katholischer Kindergarten St.Lambertus Birgelen;Kindergarten;Kindergarten
6.1879;51.09982;70;Kath. Kindergarten Myhl;Kindergarten;Kindergarten
6.17864;51.1047;73;Kindergarten Christlicher Verein Wassenberg e.V.;Kindergarten;Kindergarten
6.19243;51.09385;74;Wassenberg e.V.;Kinderbetreuung;Kindergarten
6.2177542;51.0974278;76;Kindergarten St.Christophorus;Kindergarten;Kindergarten
6.1799423;51.1440487;79;Kinderdorf St.Josef Dalheim;Kindergarten;Kindergarten
6.2011226;51.1525608;80;Städtischer Kindergarten Arsbeck-Büch;Kindergarten;Kindergarten
6.28068;51.13801;85;Ev. Kindertagesstätte Die Pusteblume;Kindertagesstätte;Kindergarten
6.27237;51.15052;87;katholischer Kindergarten Rabennest;Kindergarten;Kindergarten
6.27722;51.14259;88;Kindergarten Wegberg;Kindergarten;Kindergarten
6.2932805;51.1433124;90;"Kita ""Am Feldrain""";Kita;Kindergarten
6.2510738;51.1747869;93;Städt. Kindergarten Wegberg-Merbeck;Kindergarten;Kindergarten
6.3347274;51.1102342;96;Kindergarten Rath-Anhoven;Kindergarten;Kindergarten
6.37349;51.09101;97;Kindergarten Städtisch Venrath;Kindergarten;Kindergarten
6.29635;51.05643;100;Städtischer Kindergarten;Kindergarten;Kindergarten
6.31199;51.07223;101;"Kindergarten, ""Am Hagelkreuz""";Kindergarten;Kindergarten
6.30436;51.07935;102;Städtischer Kindergarten;Kindergarten;Kindergarten
6.3036;51.08509;107;Kindergarten Städtisch;Kindergarten;Kindergarten
6.2972791;51.0834073;108;Kindertagesstätte Oerather Mühlenfeld;Kindergarten;Kindergarten
6.31436;51.08906;109;Kindergarten Städtisch Buscherhof;Kindergarten;Kindergarten
6.32262;51.08908;110;Johanniter Kindergarten;Kindergarten;Kindergarten
6.3119208;51.0789249;114;Städtischer Kindergarten;Kindergarten;Kindergarten
6.1752601;51.0182353;116;Kindergarten Randerath;Kindergarten;Kindergarten
6.3283305;51.0316555;118;Kindergarten St. Pauli Bekehrung Lövenich;Kindergarten;Kindergarten
6.321869;51.0309751;119;Kindergarten Städtisch Lövenich;Kindergarten;Kindergarten
6.2738071;51.05718;124;Städtischer Kindergarten;Kindergarten;Kindergarten
6.27628;51.10241;126;Evangelischer Kindergarten Schwanenberg;Kindergarten;Kindergarten
6.22593;51.05023;135;Kindergarten St. Lambertus;Kindergarten;Kindergarten
6.2216901;51.0583178;139;Kindergarten Katholisch St. Barbara;Kindergarten;Kindergarten
6.2172332;51.0585294;140;Städt. Familienzentrum/Kindergarten TRAUMLAND;Kindergarten;Kindergarten
6.1986;51.05759;141;Kindergarten Städtisch;Kindergarten;Kindergarten
6.2012;51.05906;142;Waldorfkindergarten;Kindergarten;Kindergarten
6.10773;50.94413;155;Katholischer Kindergarten St.Dionysius;Kindergarten;Kindergarten
6.137518;50.9075557;156;Katholischer Kindergarten St.Fidelis Boscheln;Kindergarten;Kindergarten
6.1758387;51.0286022;159;Städtischer Kindergarten Horst;Kindergarten;Kindergarten
6.18142;51.06637;161;AWO - Kindergarten in Ratheim;Kindergarten;Kindergarten
6.1771913;51.0667964;162;Kindergarten;Kindergarten;Kindergarten
6.1574782;51.0902098;164;"Johanniter-Kindertagesstätte ""Regenbogen"" Wassenberg";Kindertagesstätte;Kindergarten
6.1493975;51.0615945;171;Kath. Kindertagesstätte St. Aloysius;Kindertagesstätte;Kindergarten
6.14547;51.05901;172;Städtische integrative Kindertagesstätte Oberbruch;Kindertagesstätte;Kindergarten
6.13319;51.05289;174;Kath. Kindergarten Eschweiler;Kindergarten;Kindergarten
6.13873;51.05033;179;Kindertagesstätte 'Triangel';Kindertagesstätte;Kindergarten
6.12332;51.05412;181;Städtische Kindertagesstätte Schafhausen;Kindertagesstätte;Kindergarten
6.1018519;51.0717503;185;Städtischer Kindergarten;Kindergarten;Kindergarten
6.0787133;51.0680566;186;Kindergarten Lieck;Kindergarten;Kindergarten
6.08849;51.05923;187;Stadt Heinsberg Kindergarten;Kindergarten;Kindergarten
6.1000891;51.0638825;192;Städtischer Kindergarten Buschheide;Kindergarten;Kindergarten
6.12509;50.99539;196;Katholischer Kindergarten St.Anna;Kindergarten;Kindergarten
6.074551;51.0128887;198;Kindergarten;Kindergarten;Kindergarten
6.0667998;51.0394861;199;Städtischer Kindergarten Aphoven/Laffeld;Kindergarten;Kindergarten
6.3064809;51.1312848;156;Kindergarten Beeck;Kindergarten;Kindergarten
6.1088769;50.9178355;5;Städtische Realschule Übach-Palenberg;Realschule;Realschule
6.1100461;50.9193505;7;Städt. Realschule Übach-Palenberg;Realschule;Realschule
6.1218429;50.9656944;20;Städtische Realschule und St Elisabeth Krankenhaus Parkhaus;Realschule;Realschule
6.124557;50.9672027;22;Realschule;Realschule;Realschule
6.1252645;50.9672027;26;Sekretariat - Realschule Geilenkirchen;;Realschule
6.28089;51.1363;86;Edith-Stein-Realschule;Realsschule;Realschule
6.3092892;51.0816464;106;Realschule Der Stadt Erkelenz;Realschule;Realschule
6.184944;51.0675221;146;Realschule Ratheim;Realschule;Realschule
6.14953;51.05665;167;Städt. Realschule;Realschule;Realschule
6.10378;51.05811;191;Städt. Realschule;Realschule;Realschule
